time,L_evals,NL_iter,TotalEnergy,dt,nodes,numDOFs,dfdt
7202.6485117108,352458,4,438.3806856214,14.1751481505,11572,133950,-6.54683974041209E-07
7344.3999932163,357198,5,433.775644908,14.1751481505,11419,132240,-8.12168004265509E-07
7486.1514747217,362242,5,427.8481230547,14.1751481505,11203,129666,-1.04540739015559E-06
7627.9029562272,367287,5,420.0086837825,14.1751481505,11325,131100,-1.38260270527505E-06
7695.2349099423,371350,4,414.9209675845,3.5437870376,11186,129402,-0.000001889
7730.6727803186,374519,4,411.696325563,3.5437870376,11115,128544,-2.27485595727029E-06
7766.110650695,377661,4,407.9850862464,3.5437870376,11195,129528,-2.61813088453922E-06
7801.5485210714,380732,4,403.5783646056,3.5437870376,11224,129864,-3.10876584425395E-06
7836.9863914477,383728,4,398.2543162919,3.5437870376,11133,128940,-3.75590311805289E-06
7872.4242618241,386662,4,391.5792235762,3.5437870376,11060,128124,-0.000004709
7907.8621322005,389580,4,382.4060663739,3.5437870376,10645,123276,-6.47129547068439E-06
7935.4150764181,393010,4,370.5801145217,0.9302440974,9792,113064,-1.07302070504554E-05
7944.7175173919,394581,5,362.6104106271,0.9302440974,9306,107394,-2.14183135292295E-05
7948.5931468626,395852,11,349.9409620355,0.2563985293,8139,93606,-8.17251022538522E-05
7949.3334404953,396275,3,345.4420079656,0.0901946198,8102,93186,-0.0001519314
7950.5246216416,396816,3,343.5067511734,0.1469175315,8988,103884,-4.06163411468064E-05
7952.4649302102,397434,3,341.882602435,0.2393131776,9779,113310,-2.0926423311138E-05
7955.6254884119,398152,3,340.5658755574,0.3898159491,10407,120894,-1.04153031958229E-05
7960.7737046843,399001,3,339.5543951202,0.6349691049,10905,126834,-4.91180043592237E-06
7969.1596065079,400006,3,338.7178456025,1.0342977632,11179,130062,-2.49391638262965E-06
7982.819356929,401229,3,337.9247762475,1.684762069,11321,131598,-1.45147116631244E-06
8005.0696509931,402648,3,337.0827094179,2.7442998816,11005,127614,-9.46130000814966E-07
8041.3130354384,404268,3,336.1238446036,4.4701753313,10654,123654,-6.61406784269246E-07
8100.3496896175,406221,3,334.9790038763,7.2814445779,10919,126882,-4.84800817042774E-07
8184.2993755358,409054,4,333.7804096938,8.8506413935,10935,127086,-3.56938256950867E-07
8224.6285716929,411321,3,333.3165240221,3.269107077,10872,126330,-2.87561937685881E-07
8267.8029730694,413089,3,332.8615616836,5.325030952,9716,112428,-2.63444497233742E-07
8338.1295234857,415186,3,332.2500921013,8.6739143052,9740,112608,-2.17367970777185E-07
8439.2115855942,418061,4,331.5572004599,11.0703569024,9808,113466,-1.71368595719846E-07
8537.3783213752,421277,3,331.0334117464,3.2038304773,9888,114414,-1.33392617502455E-07
8579.690628593,423059,3,330.8441388635,5.2187022496,9936,114990,-1.11830868703135E-07
8648.6129184666,425145,3,330.5652448228,8.5007160531,9940,114996,-1.01162498087141E-07
8721.6000952638,427778,3,330.3115299486,3.2968501673,9946,115050,-8.69039210904766E-08
8765.1408937293,429634,3,330.1803593931,5.3702215228,9973,115356,-7.53147393725057E-08
8836.0642663953,431755,3,329.9951214697,8.7475249831,10035,115980,-6.52950911656158E-08
8949.0646906975,434618,3,329.7423571763,13.5702823262,10115,116820,-5.59210938832496E-08
9122.4969879036,437768,4,329.430300249,20.0494874966,10235,118296,-0.000000045
9354.5301268015,441165,4,329.1320043255,26.868230791,10629,122874,-3.21393664819636E-08
9641.0798081875,444952,3,328.8492124281,29.6222244471,10795,125076,-2.46721524878523E-08
9968.1352706686,448798,4,328.6358637006,36.0059989543,11243,130374,-1.6308298739414E-08
10000,449105,3,328.6168509973,31.8647293314,11232,130218,-1.49167306132494E-08
10354.051713505,452602,4,328.4497663675,43.7655167665,11634,134916,-1.17980384959817E-08
10791.70688117,456862,4,328.2867923166,43.7655167665,11967,138876,-9.30950111759858E-09
11265.594426028,460911,4,328.1633385743,50.6640563468,13259,154944,-6.5128184734722E-09
11797.946998092,465053,5,328.0820940394,55.8571221223,12883,150366,-3.8153537332893E-09
12381.65392427,469207,4,328.014360026,58.6499782285,12946,151158,-2.90102834026102E-09
12976.951203289,473361,4,327.9553531682,61.5824771399,12962,151236,-2.47804163691429E-09
13614.637754073,477303,3,327.9084279345,67.8946810467,12462,144492,-1.83966690618895E-09
14327.531905063,481563,4,327.8780486714,71.2894150991,12460,144516,-1.0653497103265E-09
14733.915661949,486193,3,327.8674492831,22.7463415231,12635,146790,-6.52055359645097E-10
15034.321753166,489520,5,327.8624710978,37.0513934858,12669,147264,-4.14287980132732E-10
15463.035646976,493359,3,327.8569046821,49.6524108894,12489,145194,-3.24599678268209E-10
16045.249390835,497196,3,327.844277918,66.5389793794,11495,133092,-5.42187652008336E-10
16775.348342075,501350,4,327.8310348167,73.3592247658,11455,132528,-4.5346940019188E-10
17542.685833126,505398,4,327.8152440551,80.8785453043,8831,101736,-5.14465985442388E-10
18351.471286168,509764,4,327.8096422158,80.8785453043,9116,105408,-1.73155913565441E-10
19164.300666476,514024,4,327.8044594921,84.9224725695,9333,108024,-1.59403801263723E-10
19887.203214224,518552,3,327.8037485329,22.2921490495,9121,105366,-2.4586963423454E-11
20181.610882112,521629,3,327.7995935041,36.311561806,8286,95172,-3.52829532241279E-10
20655.670957163,524935,3,327.7965929973,56.331150396,8663,99756,-1.58234522265847E-10
21253.062807112,529089,4,327.794828951,62.1050933115,8969,103392,-7.38228321214913E-11
21915.41362728,533137,4,327.7922931196,68.470865376,9146,105660,-9.57133045206336E-11
22656.978775876,537079,3,327.7919369416,79.2635855309,9373,108426,-1.20076425741257E-11
23526.698468113,541233,3,327.7879579774,87.3881030478,9045,104280,-1.14374901923484E-10
24444.273550115,545811,4,327.787830499,91.7575082002,9307,107256,-3.47324247597054E-12
25361.848632117,550283,5,327.785712043,91.7575082002,8172,93624,-5.77188739528516E-11
26279.423714119,554649,4,327.7843399294,91.7575082002,8324,95688,-3.73842309167911E-11
27243.106943991,559121,4,327.7843941141,101.1626527907,8250,94686,1.4056670365244E-12
28254.733471898,563487,4,327.7842483521,101.1626527907,9904,114852,-3.60216977254289E-12
29311.88319356,567853,4,327.7832158633,106.2207854302,8340,95730,-2.44168048965098E-11

